Did you go to a school under the Montgomery County Public Schools system?,What was your high school GPA?,What is your first semester college GPA?,How many remedial classes did you take? (classes that did not yield college credits),How many times have you switched majors?,Answer whether you agree/disagree with the following statements [My high school showed me alternatives to college.],Answer whether you agree/disagree with the following statements [I wasn't sure what I will do after high school],Answer whether you agree/disagree with the following statements [I felt uninterested in my high school coursework],"If you agree/strongly agreed to the statement ""My high school showed me alternatives to college."" What alternatives were you offered?",Answer whether you agree/disagree with the following statements [I had to work hard to adjust to college level ],Answer whether you agree/disagree with the following statements [I felt stressed because of my coursework during my freshman year],Answer whether you agree/disagree with the following statements [I had to seek mental health help during my freshman year of college]
No,4.7780000000000005,2.908,0,1,Disagree,Strongly disagree,Neutral,,Strongly Agree,Strongly Agree,Agree
No,4.54,3.87,0,1,Strongly disagree,Neutral,Disagree,,Neutral,Agree,Disagree
No,4.2,3.2,0,1,Disagree,Strongly disagree,Neutral,,Disagree,Disagree,Strongly disagree
No,3.7,2.8,0,1,Neutral,Disagree,Agree,Vocational,Disagree,Disagree,Disagree
Yes,3.3,3.0,1-2,0,Neutral,Strongly agree,Agree,,Agree,Agree,Disagree
Yes,3.2,3.6,0,1,Strongly disagree,Strongly agree,Agree,,Neutral,Disagree,Disagree
Yes,4.3,3.8,0,0,Strongly disagree,Strongly agree,Strongly disagree,Work at a nail salon,Strongly Agree,Strongly Agree,Strongly Agree
Yes,3.8,2.7,1-2,1,Strongly disagree,Strongly agree,Strongly agree,,Strongly Agree,Strongly Agree,Strongly Agree
Yes,4.1,3.1,1-2,2+,Strongly disagree,Strongly agree,Strongly agree,,Strongly Agree,Strongly Agree,Strongly Agree
Yes,3.8,3.0,1-2,0,Strongly disagree,Strongly agree,Strongly agree,,Strongly Agree,Strongly Agree,Strongly Agree
No,4.75,3.3,1-2,1,Disagree,Agree,Agree,,Agree,Agree,Agree
Yes,3.7,2.6,0,1,Neutral,Disagree,Disagree,,Strongly Agree,Strongly Agree,Agree
No,3.5,3.8,0,0,Strongly agree,Strongly disagree,Strongly agree,Military ,Strongly Agree,Strongly Agree,Disagree
Yes,4.3,3.5,0,0,Agree,Strongly agree,Agree,Military ,Neutral,Agree,Agree
No,3.5,2.8,3+,2+,Strongly disagree,Strongly agree,Agree,,Strongly Agree,Strongly Agree,Strongly Agree
Yes,4.0,2.8,0,1,Strongly disagree,Strongly agree,Strongly agree,,Strongly Agree,Agree,Strongly Agree
No,3.8,3.8,1-2,0,Strongly agree,Strongly agree,Disagree,Military,Strongly Agree,Strongly Agree,Strongly Agree
Yes,3.8,2.9,1-2,1,Strongly disagree,Strongly agree,Strongly agree,,Agree,Strongly Agree,Agree
Yes,4.1,3.0,3+,1,Strongly disagree,Strongly agree,Strongly agree,,Agree,Agree,Agree
Yes,4.1,3.5,1-2,0,Strongly disagree,Strongly disagree,Strongly disagree,,Agree,Agree,Agree
No,4.1,3.8,0,0,Strongly disagree,Strongly disagree,Strongly disagree,,Strongly Agree,Strongly Agree,Strongly Agree
No,4.0,3.9,0,0,Strongly agree,Strongly disagree,Strongly disagree,Military,Strongly disagree,Strongly disagree,Strongly disagree
No,3.7,3.0,0,1,Strongly disagree,Strongly disagree,Strongly disagree,,Neutral,Neutral,Strongly disagree
No,4.0,3.8,0,0,Strongly agree,Strongly disagree,Strongly disagree,Military,Strongly disagree,Strongly disagree,Strongly disagree
No,4.1,3.9,0,0,Strongly disagree,Strongly disagree,Strongly disagree,,Strongly disagree,Strongly disagree,Strongly disagree
Yes,3.64,3.5,0,0,Disagree,Agree,Disagree,,Agree,Disagree,Neutral
Yes,4.0,3.5,0,0,Strongly agree,Strongly disagree,Strongly disagree,Vocational,Agree,Strongly disagree,Strongly disagree
Yes,4.0,3.0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,,Strongly Agree,Disagree,Strongly disagree
No,4.0,3.0,1-2,1,Strongly disagree,Strongly agree,Strongly agree,,Strongly Agree,Strongly Agree,Strongly disagree
Yes,4.0,3.0,1-2,1,Strongly disagree,Strongly agree,Strongly agree,,Strongly Agree,Strongly Agree,Disagree
No,4.0,3.9,0,0,Strongly agree,Strongly disagree,Strongly disagree,Military,Strongly disagree,Strongly disagree,Strongly disagree
No,4.0,3.5,0,0,Strongly agree,Strongly disagree,Strongly disagree,Military,Agree,Strongly disagree,Strongly disagree
Yes,4.0,3.0,1-2,1,Strongly disagree,Strongly agree,Strongly agree,,Strongly Agree,Strongly Agree,Strongly disagree
Yes,4.0,3.1,0,1,Strongly disagree,Strongly agree,Strongly agree,,Strongly Agree,Strongly Agree,Strongly disagree
Yes,3.9,3.0,0,1,Strongly disagree,Strongly agree,Strongly agree,,Strongly Agree,Strongly Agree,Strongly disagree
Yes,3.9,3.0,1-2,1,Strongly disagree,Strongly agree,Strongly agree,,Strongly Agree,Strongly Agree,Strongly disagree
No,3.5,3.8,0,0,Strongly disagree,Strongly agree,Strongly agree,,Strongly Agree,Strongly Agree,Strongly disagree
No,3.8,2.9,0,0,Strongly disagree,Strongly agree,Strongly agree,,Strongly Agree,Strongly Agree,Disagree
No,3.5,2.7,0,0,Agree,Strongly agree,Strongly agree,Military,Strongly Agree,Strongly Agree,Disagree
No,3.8,2.9,0,0,Strongly disagree,Strongly agree,Strongly agree,,Strongly Agree,Strongly Agree,Strongly Agree
No,4.0,2.9,0,0,Strongly disagree,Strongly agree,Strongly agree,,Strongly Agree,Strongly Agree,Strongly Agree
No,4.1,3.0,0,0,Strongly disagree,Strongly agree,Strongly agree,,Strongly Agree,Strongly Agree,Agree
No,3.8,2.8,0,0,Disagree,Strongly agree,Strongly agree,,Strongly Agree,Strongly Agree,Strongly disagree
No,3.8,3.1,0,0,Strongly agree,Strongly agree,Strongly agree,Military,Strongly Agree,Strongly Agree,Strongly disagree
Yes,4.1,3.0,0,0,Strongly disagree,Strongly agree,Strongly agree,,Strongly Agree,Strongly Agree,Strongly disagree
