pg,cgrad,hsgrad,nsummer,hsgpa,cgpa,nremedial,nswitch,unsure,uninterested,mil,voc,it,nsems,altscore
1,Spring 2019,2015,3,3.5,3.8,3,0,0,1,0,0,0,7,0
0,Spring 2020,2017,1,3.76,3.947,0,0,1,1,0,0,0,4,0
0,Spring 2020,2016,4,4.7780000000000005,2.987,0,1,1,1,1,1,1,8,3
0,Spring 2020,2015,0,3.7,3.9,3,0,1,1,0,1,1,5,2
0,Spring 2020,2016,0,3.75,3.75,2,1,1,1,0,1,0,4,1
0,Fall 2021,2016,2,3.8,3.6,12,1,1,0,0,1,0,8,1
1,Fall 2020,2016,2,3.8,2.9,2,2,1,1,0,0,0,7,0
1,Fall 2022,2018,1,3.8,3.0,1,2,1,1,0,0,0,6,0
0,Fall 2020,2017,0,4.2,3.85,0,1,0,1,1,1,1,4,3
1,Fall 2020,2015,2,3.4,2.5,1,3,1,1,0,0,0,8,0
1,Spring 2021,2015,3,3.4,3.2,3,2,1,1,1,0,0,9,1
1,Fall 2022,2014,0,3.6,3.5,6,0,1,1,1,1,1,9,3
1,Spring 2021,2016,0,4.0,3.0,1,1,1,1,0,0,0,5,0
1,Fall 2019,2015,3,3.4,2.9,3,1,1,1,0,0,0,8,0
0,Spring 2019,2015,3,4.0,3.0,1,0,1,1,0,0,0,7,0
1,Spring 2020,2015,2,3.8,2.8,4,1,1,1,0,0,0,7,0
1,Spring 2021,2017,0,4.0,2.0,2,2,0,0,1,1,0,4,2
1,Spring 2021,2016,1,3.8,2.75,3,3,1,1,0,0,0,6,0
1,Fall 2024,2014,0,3.5,4.0,5,0,1,0,1,1,1,11,3
0,Fall 2020,2016,1,4.0,3.3,0,2,1,0,0,0,0,6,0
1,Spring 2020,2017,0,3.5,4.0,3,0,0,1,0,0,0,3,0
0,Spring 2022,2017,2,3.5,2.9,1,0,0,0,0,0,0,7,0
0,Spring 2021,2015,3,4.0,3.0,5,3,1,1,0,0,0,9,0
1,Spring 2020,2017,0,4.2,4.0,10,0,1,1,0,0,0,3,0
0,Fall 2020,2016,2,4.0,3.0,4,1,1,1,0,0,0,7,0
0,Spring 2021,2016,1,4.0,3.5,3,2,1,1,0,0,0,6,0
0,Fall 2020,2016,2,3.8,2.8,3,2,1,1,0,0,0,7,0
0,Spring 2020,2016,1,3.4,3.3,5,0,0,1,1,1,0,5,2
0,Spring 2021,2017,3,4.0,2.8,4,0,1,1,0,0,0,7,0
0,Spring 2021,2016,2,3.8,2.9,2,0,1,1,0,0,0,7,0
0,Spring 2019,2015,0,4.0,3.9,0,0,0,0,1,1,1,4,3
0,Spring 2019,2015,0,4.0,3.8,0,0,0,0,1,0,0,4,1
0,Spring 2019,2015,1,3.5,4.0,0,0,0,0,1,1,1,5,3
0,Spring 2019,2015,1,4.0,4.0,1,1,0,0,1,1,1,5,3
0,Spring 2019,2015,0,4.0,4.0,0,0,0,1,0,0,0,4,0
0,Fall 2019,2015,0,4.0,3.9,0,0,0,0,0,0,0,5,0
0,Fall 2020,2016,1,4.0,4.0,0,0,0,0,1,1,1,6,3
0,Spring 2020,2016,1,4.0,3.8,0,0,1,1,0,0,0,5,0
1,Spring 2019,2017,1,3.9,3.8,0,0,0,1,0,0,0,3,0
1,Spring 2020,2015,2,3.6,3.0,6,2,1,1,0,0,0,7,0
1,Spring 2020,2015,3,4.1,2.9,4,1,1,1,0,0,0,8,0
1,Spring 2021,2016,4,4.1,2.8,6,3,1,1,0,0,0,9,0
1,Fall 2020,2016,1,4.0,2.9,5,3,1,1,0,0,0,6,0
1,Spring 2021,2016,1,4.0,3.0,5,3,1,1,0,0,0,6,0
1,Spring 2021,2016,3,4.0,2.6,4,3,1,1,0,0,0,8,0
1,Spring 2021,2016,4,4.3,2.5,8,4,1,1,0,0,0,9,0
1,Spring 2020,2015,4,3.8,3.0,3,3,1,1,0,0,0,9,0
0,Spring 2020,2015,3,3.5,2.5,4,4,1,1,0,0,0,8,0
1,Spring 2021,2016,2,3.5,2.5,5,3,1,1,0,0,0,7,0
1,Fall 2020,2016,2,3.4,2.8,4,4,1,1,0,0,0,7,0
