hsgpa,collegegpa,n_remedial,n_switch,alt0,alt1,alt2,stress0,stress1,stress2
4.7780000000000005,2.908,0,1,-1.0,-2.0,0.0,2,2,1
4.54,3.87,0,1,-2.0,0.0,-1.0,0,1,-1
4.2,3.2,0,1,-1.0,-2.0,0.0,-1,-1,-2
3.7,2.8,0,1,0.0,-1.0,1.0,-1,-1,-1
3.3,3.0,1,0,0.0,1.0,1.0,1,1,-1
3.2,3.6,0,1,-2.0,1.0,1.0,0,-1,-1
4.3,3.8,0,0,-2.0,1.0,-2.0,2,2,2
3.8,2.7,2,1,-2.0,1.0,1.0,2,2,2
4.1,3.1,2,2,-2.0,1.0,1.0,2,2,2
3.8,3.0,1,0,-2.0,1.0,1.0,2,2,2
4.75,3.3,2,1,-1.0,1.0,1.0,1,1,1
3.7,2.6,0,1,0.0,-1.0,-1.0,2,2,1
3.5,3.8,0,0,1.0,-2.0,1.0,2,2,-1
4.3,3.5,0,0,1.0,1.0,1.0,0,1,1
3.5,2.8,3,2,-2.0,1.0,1.0,2,2,2
4.0,2.8,0,1,-2.0,1.0,1.0,2,1,2
3.8,3.8,2,0,1.0,1.0,-1.0,2,2,2
3.8,2.9,1,1,-2.0,1.0,1.0,1,2,1
4.1,3.0,4,1,-2.0,1.0,1.0,1,1,1
4.1,3.5,2,0,-2.0,-2.0,-2.0,1,1,1
4.1,3.8,0,0,-2.0,-2.0,-2.0,2,2,2
4.0,3.9,0,0,1.0,-2.0,-2.0,-2,-2,-2
3.7,3.0,0,1,-2.0,-2.0,-2.0,0,0,-2
4.0,3.8,0,0,1.0,-2.0,-2.0,-2,-2,-2
4.1,3.9,0,0,-2.0,-2.0,-2.0,-2,-2,-2
3.64,3.5,0,0,-1.0,1.0,-1.0,1,-1,0
4.0,3.5,0,0,1.0,-2.0,-2.0,1,-2,-2
4.0,3.0,0,0,-2.0,-2.0,-2.0,2,-1,-2
4.0,3.0,1,1,-2.0,1.0,1.0,2,2,-2
4.0,3.0,2,1,-2.0,1.0,1.0,2,2,-1
4.0,3.9,0,0,1.0,-2.0,-2.0,-2,-2,-2
4.0,3.5,0,0,1.0,-2.0,-2.0,1,-2,-2
4.0,3.0,2,1,-2.0,1.0,1.0,2,2,-2
4.0,3.1,0,1,-2.0,1.0,1.0,2,2,-2
3.9,3.0,0,1,-2.0,1.0,1.0,2,2,-2
3.9,3.0,1,1,-2.0,1.0,1.0,2,2,-2
3.5,3.8,0,0,-2.0,1.0,1.0,2,2,-2
3.8,2.9,0,0,-2.0,1.0,1.0,2,2,-1
3.5,2.7,0,0,1.0,1.0,1.0,2,2,-1
3.8,2.9,0,0,-2.0,1.0,1.0,2,2,2
4.0,2.9,0,0,-2.0,1.0,1.0,2,2,2
4.1,3.0,0,0,-2.0,1.0,1.0,2,2,1
3.8,2.8,0,0,-1.0,1.0,1.0,2,2,-2
3.8,3.1,0,0,1.0,1.0,1.0,2,2,-2
4.1,3.0,0,0,-2.0,1.0,1.0,2,2,-2
